"","keyword"
"1","Automotive Industry"
"2","Bicycles & Accessories"
"3","Boats & Watercraft"
"4","Campers & RVs"
"5","Classic Vehicles"
"6","Commercial Vehicles"
"7","Custom & Performance Vehicles"
"8","Hybrid & Alternative Vehicles"
"9","Microcars & City Cars"
"10","Motorcycles"
"11","Off-Road Vehicles"
"12","Personal Aircraft"
"13","Scooters & Mopeds"
"14","Trucks and SUVs"
"15","Vehicle Brands"
"16","Vehicle Codes & Driving Laws"
"17","Vehicle Licensing & Registration"
"18","Vehicle Maintenance"
"19","Vehicle Parts & Accessories"
"20","Vehicle Shopping"
"21","Vehicle Shows"
"22","Beauty Pageants"
"23","Body Art"
"24","Cosmetic Procedures"
"25","Cosmetology & Beauty Professionals"
"26","Face & Body Care"
"27","Fashion & Style"
"28","Fitness"
"29","Hair Care"
"30","Spas & Beauty Services"
"31","Weight Loss"
"32","Advertising & Marketing"
"33","Aerospace & Defence"
"34","Agriculture & Forestry"
"35","Business Education"
"36","Business Finance"
"37","Business News"
"38","Business Operations"
"39","Business Services"
"40","Chemicals Industry"
"41","Construction & Maintenance"
"42","Energy & Utilities"
"43","Enterprise Technology"
"44","Entertainment Industry"
"45","Hospitality Industry"
"46","Industrial Materials & Equipment"
"47","Manufacturing"
"48","Metals & Mining"
"49","Pharmaceuticals & Biotech"
"50","Printing & Publishing"
"51","Professional & Trade Associations"
"52","Retail Trade"
"53","Small Business"
"54","Textiles & Nonwovens"
"55","Transportation & Logistics"
"56","CAD & RAM"
"57","Computer Hardware"
"58","Computer Security"
"59","Consumer Electronics"
"60","Electronics & Electrical"
"61","Networking"
"62","Programming"
"63","Software"
"64","Technical Support"
"65","Technology News"
"66","Accounting & Auditing"
"67","Banking"
"68","Credit & Lending"
"69","Currencies & Foreign Exchange"
"70","Financial Planning"
"71","Grants & Financial Assistance"
"72","Insurance"
"73","Investing"
"74","Retirement & Pension"
"75","Alcoholic Beverages"
"76","Candy & Sweets"
"77","Cooking & Recipes"
"78","Culinary Training"
"79","Grocery & Food Retailers"
"80","Non-Alcoholic Beverages"
"81","Restaurants"
"82","Ageing & Geriatrics"
"83","Alternative & Natural Medicine"
"84","Health Conditions"
"85","Health Education & Medical Training"
"86","Health Foundations & Medical Research"
"87","Medical Devices & Equipment"
"88","Medical Facilities & Services"
"89","Medical Literature & Resources"
"90","Men<92>s Health"
"91","Mental Health"
"92","Nursing"
"93","Nutrition"
"94","Oral & Dental Care"
"95","Pediatrics"
"96","Pharmacy"
"97","Public Health"
"98","Reproductive Health"
"99","Substance Abuse"
"100","Vision Care"
"101","Women<92>s Health"
"102","Bed & Bath"
"103","Domestic Services"
"104","Gardening & Landscaping"
"105","Home Appliances"
"106","Home Furnishing"
"107","Home Improvement"
"108","Home Storage & Shelving"
"109","Homemaking & Interior Decor"
"110","HVAC & Climate Control"
"111","Kitchen & Dining"
"112","Laundry"
"113","Nursery & Playroom"
"114","Pest Control"
"115","Swimming Pools & Spas"
"116","Yard & Patio"
"117","Communications Equipment"
"118","Email & Messaging"
"119","Mobile & Wireless"
"120","Search Engines"
"121","Service Providers"
"122","Teleconferencing"
"123","Web Apps & Online Tools"
"124","Web Portals"
"125","Web Services"
"126","Education"
"127","Jobs"
"128","Government"
"129","Legal"
"130","Military"
"131","Public Safety"
"132","Social Services"
"133","Broadcast & Network News"
"134","Celebrities & Entertainment News"
"135","Gossip & Tabloid News"
"136","Health News"
"137","Journalism & News Industry"
"138","Local News"
"139","Newspapers"
"140","Politics"
"141","Sports News"
"142","Weather"
"143","World News"
"144","Apartments & Residential Rentals"
"145","Commercial & Investment Real Estate"
"146","Property Developmen"
"147","Property Inspections & Appraisals"
"148","Property Management"
"149","Real Estate Agencies"
"150","Real Estate Listings"
"151","Timeshares & Vacation Properties"
"152","Antiques & Collectibles"
"153","Apparel"
"154","Auctions"
"155","Classifieds"
"156","Consumer Resources"
"157","Entertainment Media"
"158","Gifts & Special Event Items"
"159","Luxury Goods"
"160","Mass Merchants & Department Stores"
"161","Photo & Video Services"
"162","Shopping Portals & Search Engines"
"163","Sporting Goods"
"164","Swap Meets & Outdoor Markets"
"165","Ticket Sales"
"166","Tobacco Products"
"167","Toys"
"168","Wholesalers & Liquidators"
"169","College Sports"
"170","Combat Sports"
"171","Extreme Sports"
"172","Fantasy Sports"
"173","Individual Sports"
"174","Live Sporting Events"
"175","Motor Sports"
"176","Sports Coaching & Training"
"177","Team Sports"
"178","Water Sports"
"179","Winter Sports"
"180","World Sports Competitions"
"181","Air Travel"
"182","Bus & Rail"
"183","Car Rental & Taxi Services"
"184","Carpooling & Vehicle Sharing"
"185","Cruises & Charters"
"186","Hotels & Accomodations"
"187","Luggage & Travel Accessories"
"188","Specialty Travel"
"189","Tourist Destinations"
"190","Travel Agencies & Services"
"191","Travel Guides & Travelogues"
